When,Title,Authors,Conference,Location,Award,Tag
5/20/20,Habitual social media use is associated with increased neural activity ,"Pei, R., Meshi, D., Bayer, J., Cascio, C.N., O'Donnell, M.B., Falk, E.B.",,,,talk
3/1/21,Neural activity during risky decision making reflects adolescents' online social network clustering structure.,"Pei, R., Lauharatanahirun, N., Cascio, C.N., O'Donnell, M.B., Falk, E.B.",,,,poster
11/7/19,Adolescent's neural and self-report responses to fear vs. humor appeals in tobacco-prevention messages.,"Pei, R., Lauharatanahirun, N., Falk, E.B.",,,,talk
5/5/19,Neural activity during risky decision making reflects online social network clustering structure.,"Pei, R., Lauharatanahirun, N., Cascio, C.N., O'Donnell, M.B., Vettel, J.M., Falk, E.B.",,,,poster
5/20/19,Neural activity during risky decision making reflects online social network clustering structure. ,"Pei, R., Lauharatanahirun, N., Cascio, C. N., O'Donnell, M.B., Vettel, J.M., Falk, E.B.",,,Best papers in Communcation Science and Biology,talk
5/20/19,Are Neural Mechanisms Associated with Social Feedback and Conformity Different among Teens and Young Adults?,"Cascio, C., Pei, R., Falk, E.B.",,,,talk
5/20/19,Message-elicited brain response moderates the relationship between opportunities for exposure to anti-smoking messages and message recall.,"Kranzler, E. C., Schmaelzle, R., Pei, R.,  Hornik, R.C., & Falk, E. B.",,,,talk
5/20/18,Safety versus risk endorsing peer attitudes influence adolescent risk taking through distinct neural mechanisms.,"Pei, R., Cascio, C., Simons-Morton, B., Falk, E.",,,Best Papers in Communication Science and Biology,talk
5/20/18,Counterproductive effects of repeated exposure to health campaign messages: Evidence from a neuroimaging study.,"Liu, J., So, J., Pei, R., & Falk, E.B.",,,,talk
2/10/18,"Adolescent neural responses to anti-smoking messages, perceived ad effectiveness, and sharing intention and elaboration.","Kranzler, E., Pei, R., Schmaelzle, R., O'Donnell, M.B., & Falk, E. B.",,,,talk
5/20/17,Neural activity during anti-smoking message exposure predicts subsequent message elaboration.,"Pei, R., Schmaelzle, R., Kranzler, E., O'Donnell, M. B., & Falk, E. B.",,,Best papers in Information System Division,talk
5/20/17,Neural activity during anti-smoking message exposure predicts subsequent message elaboration.,"Pei, R., Schmaelzle, R., Kranzler, E., O'Donnell, M. B., & Falk, E. B.",,,,poster
11/20/14,Role of reinforcement learning in tic expression: Integrating methods from behavioral psychology and computational neuroscience.,"Conelea, C., Frank, M., Frank, H., Wiecki, T., Pei, R., & Freeman, J.",,,,poster